Image#., Detector_Type, Descriptor_Type, Keypoints, Keypoints(Proceeding Vehical), (Detector)Elapsed_Time, (Descriptor)Elapsed_Time, Matches, MATCHER ELAPSED TIME
0, SHITOMASI, BRISK, 1370, 125, 19.9643, 2.65855, 0, 0
1, SHITOMASI, BRISK, 1301, 118, 17.8799, 2.48898, 95, 0.979187
2, SHITOMASI, BRISK, 1361, 123, 17.3815, 2.47866, 88, 0.873569
3, SHITOMASI, BRISK, 1358, 120, 16.8996, 2.50448, 80, 0.752804
4, SHITOMASI, BRISK, 1333, 120, 16.8678, 2.45604, 90, 0.846213
5, SHITOMASI, BRISK, 1284, 113, 17.5379, 2.31054, 82, 0.942986
6, SHITOMASI, BRISK, 1322, 114, 17.4152, 2.45902, 79, 0.634403
7, SHITOMASI, BRISK, 1366, 123, 16.4192, 2.53828, 85, 0.712486
8, SHITOMASI, BRISK, 1389, 111, 17.4847, 2.4411, 86, 0.850795
9, SHITOMASI, BRISK, 1339, 112, 17.5555, 2.42101, 82, 0.648499

0, SHITOMASI, BRIEF, 1370, 125, 17.0647, 1.87844, 0, 0
1, SHITOMASI, BRIEF, 1301, 118, 17.7568, 1.66949, 115, 0.660873
2, SHITOMASI, BRIEF, 1361, 123, 16.7907, 1.62323, 111, 0.814872
3, SHITOMASI, BRIEF, 1358, 120, 16.9709, 1.71171, 104, 0.705282
4, SHITOMASI, BRIEF, 1333, 120, 17.1718, 1.64838, 101, 0.674058
5, SHITOMASI, BRIEF, 1284, 113, 16.6412, 1.61388, 102, 0.695611
6, SHITOMASI, BRIEF, 1322, 114, 17.0181, 1.72981, 102, 0.646673
7, SHITOMASI, BRIEF, 1366, 123, 17.0534, 1.69351, 100, 0.657124
8, SHITOMASI, BRIEF, 1389, 111, 16.695, 1.5877, 109, 0.644293
9, SHITOMASI, BRIEF, 1339, 112, 16.9022, 1.62476, 100, 0.635545

0, SHITOMASI, ORB, 1370, 125, 16.6215, 1.5701, 0, 0
1, SHITOMASI, ORB, 1301, 118, 17.6817, 1.35958, 106, 0.68341
2, SHITOMASI, ORB, 1361, 123, 17.2874, 1.31724, 102, 0.670508
3, SHITOMASI, ORB, 1358, 120, 17.5731, 1.54663, 99, 0.694395
4, SHITOMASI, ORB, 1333, 120, 17.6733, 1.54066, 102, 0.693525
5, SHITOMASI, ORB, 1284, 113, 17.3522, 1.51108, 103, 0.659261
6, SHITOMASI, ORB, 1322, 114, 17.4162, 1.50165, 97, 0.621338
7, SHITOMASI, ORB, 1366, 123, 17.9969, 1.58337, 98, 0.676147
8, SHITOMASI, ORB, 1389, 111, 17.6301, 1.51456, 104, 0.651535
9, SHITOMASI, ORB, 1339, 112, 17.5859, 1.53246, 97, 0.615766

0, SHITOMASI, FREAK, 1370, 125, 16.9603, 48.6694, 0, 0
1, SHITOMASI, FREAK, 1301, 118, 16.9616, 44.4589, 86, 0.844102
2, SHITOMASI, FREAK, 1361, 123, 11.7623, 44.4783, 90, 0.873336
3, SHITOMASI, FREAK, 1358, 120, 11.9138, 44.5099, 86, 0.863672
4, SHITOMASI, FREAK, 1333, 120, 11.6948, 44.3255, 88, 0.857887
5, SHITOMASI, FREAK, 1284, 113, 12.5978, 44.4195, 86, 0.815568
6, SHITOMASI, FREAK, 1322, 114, 11.8366, 44.2987, 80, 0.80032
7, SHITOMASI, FREAK, 1366, 123, 11.856, 44.3482, 81, 0.8842
8, SHITOMASI, FREAK, 1389, 111, 11.8162, 44.2767, 86, 0.831449
9, SHITOMASI, FREAK, 1339, 112, 11.782, 44.2713, 85, 0.793263

0, SHITOMASI, SIFT, 1370, 125, 11.7715, 20.2657, 0, 0
1, SHITOMASI, SIFT, 1301, 118, 11.6245, 17.5639, 112, 1.06229
2, SHITOMASI, SIFT, 1361, 123, 11.736, 18.1569, 109, 1.06739
3, SHITOMASI, SIFT, 1358, 120, 11.7258, 17.41, 104, 1.04445
4, SHITOMASI, SIFT, 1333, 120, 17.1662, 18.8885, 103, 0.989761
5, SHITOMASI, SIFT, 1284, 113, 11.83, 17.7043, 99, 0.993454
6, SHITOMASI, SIFT, 1322, 114, 19.3839, 19.0417, 101, 0.999211
7, SHITOMASI, SIFT, 1366, 123, 12.033, 17.5164, 96, 0.946372
8, SHITOMASI, SIFT, 1389, 111, 11.7605, 17.775, 106, 0.934872
9, SHITOMASI, SIFT, 1339, 112, 17.4368, 17.5629, 97, 0.902575

0, HARRIS, BRISK, 115, 0, 17.72, 0.281458, 0, 0
1, HARRIS, BRISK, 98, 0, 12.1239, 0.309832, 0, 0.008569
2, HARRIS, BRISK, 113, 0, 12.4877, 0.302549, 0, 0.007986
3, HARRIS, BRISK, 121, 0, 12.1555, 0.292353, 0, 0.008356
4, HARRIS, BRISK, 160, 0, 13.689, 0.296389, 0, 0.008228
5, HARRIS, BRISK, 383, 0, 32.0434, 0.305617, 0, 0.008189
6, HARRIS, BRISK, 85, 0, 12.0346, 0.293649, 0, 0.009425
7, HARRIS, BRISK, 210, 0, 15.1567, 0.340134, 0, 0.008214
8, HARRIS, BRISK, 171, 0, 13.4625, 0.290287, 0, 0.009174
9, HARRIS, BRISK, 281, 0, 20.1779, 0.292886, 0, 0.008298

0, HARRIS, BRIEF, 115, 0, 12.1734, 0.289722, 0, 0
1, HARRIS, BRIEF, 98, 0, 12.413, 0.344837, 0, 0.00862
2, HARRIS, BRIEF, 113, 0, 12.2589, 0.310156, 0, 0.010729
3, HARRIS, BRIEF, 121, 0, 12.3921, 0.310734, 0, 0.008791
4, HARRIS, BRIEF, 160, 0, 13.3199, 0.312648, 0, 0.009009
5, HARRIS, BRIEF, 383, 0, 31.2842, 0.349481, 0, 0.00918
6, HARRIS, BRIEF, 85, 0, 11.8487, 0.298758, 0, 0.008685
7, HARRIS, BRIEF, 210, 0, 14.8387, 0.317148, 0, 0.009201
8, HARRIS, BRIEF, 171, 0, 13.3998, 0.324208, 0, 0.008508
9, HARRIS, BRIEF, 281, 0, 19.7381, 0.332476, 0, 0.008771

0, HARRIS, ORB, 115, 0, 12.2615, 0.149566, 0, 0
1, HARRIS, ORB, 98, 0, 11.8323, 0.130197, 0, 0.009334
2, HARRIS, ORB, 113, 0, 12.0193, 0.122829, 0, 0.008043
3, HARRIS, ORB, 121, 0, 12.116, 0.134325, 0, 0.008344
4, HARRIS, ORB, 160, 0, 13.2613, 0.187985, 0, 0.008247
5, HARRIS, ORB, 383, 0, 31.7218, 0.207337, 0, 0.008248
6, HARRIS, ORB, 85, 0, 11.9479, 0.145349, 0, 0.008922
7, HARRIS, ORB, 210, 0, 15.008, 0.142111, 0, 0.008081
8, HARRIS, ORB, 171, 0, 13.3014, 0.148745, 0, 0.007817
9, HARRIS, ORB, 281, 0, 20.1261, 0.239406, 0, 0.008505

0, HARRIS, FREAK, 115, 0, 12.3948, 0.001299, 0, 0
1, HARRIS, FREAK, 98, 0, 11.8559, 0.00138, 0, 0.010882
2, HARRIS, FREAK, 113, 0, 12.3511, 0.001748, 0, 0.01074
